,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV152,0,0,0,0,0,0.239769452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031910112,0,0.008420344,0,0.014897579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.016469942,0.028521023,0.065485535,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV156,0,0,0,0.02020202,0,0.016138329,0,0.031873033,0,0,0,0.065187868,0,0,0,0,0,0.097560976,0,0,0,0,0,0,0,0,0.006876228,0.015583554,0,0,0,0,0,0,0,0,0,0,0,0.004594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001861993,0,0.003815407,0.003462051,0,0,0.050483351,0.090909091,0.0125,0,0.039408867,0.020627063
ASV158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011563169,0,0.005578282,0.024557957,0.030006631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048770972,0,0.010484928,0,0,0,0,0,0,0,0,0,0,0.004709576,0.005809731,0,0,0,0,0,0,0,0.017012228,0,0,0,0
ASV159,0,0.255360624,0,0.05976431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009438202,0,0,0,0,0,0.02259332,0.00795756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038875103,0,0.027896996,0.1875,0.060943644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV162,0,0,0,0,0,0,0,0,0,0,0,0,0.02029065,0,0,0,0.43125,0.029810298,0,0.022071307,0,0,0,0.016702355,0.056486654,0.016734846,0.030451866,0,0,0,0,0,0.084158416,0,0,0,0.221458047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006862476,0,0,0,0,0.013819095,0,0,0,0,0,0,0,0,0,0
ASV165,0,0,0,0,0,0,0,0,0,0.032653061,0,0.008601177,0,0,0,0,0,0,0,0,0.003595506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235294,0,0,0,0,0.012450852,0,0,0,0,0,0,0.016842105,0.02420307,0.053527313,0.034695678,0.057636241,0.037400145,0,0.021356784,0,0,0,0,0,0,0,0,0,0
ASV183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241584158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV184,0,0.003898635,0,0.006734007,0,0.017867435,0,0,0,0.026530612,0,0.014033499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004135649,0,0.015411627,0,0.002948886,0,0,0,0.001896933,0.007433102,0.004757374,0.004736842,0.002361275,0.014548449,0.004704499,0,0.002904866,0.025958379,0.002512563,0.019077035,0.010252996,0,0,0,0,0.01875,0.012534819,0.006157635,0.030115512
ASV186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052879757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011578947,0.007083825,0.009332967,0.024110556,0.025342005,0.00617284,0,0,0,0,0.012593017,0.021555042,0.051020408,0.103668262,0,0,0,0
ASV190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045806669,0,0,0,0,0.008454907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031430935,0,0.022044479,0,0.022608126,0,0,0,0,0,0,0,0,0.010430963,0,0.009419152,0.01016703,0,0,0,0,0,0,0,0,0,0,0,0
